Wall time,Step,Value
1581571832.401044,1,17834.205078125
1581571903.7129374,2,20191.603515625
1581571977.5540683,3,19111.923828125
1581572052.0687044,4,19748.8515625
1581572126.1417744,5,19407.158203125
1581572201.163933,6,19936.84765625
1581572275.1223369,7,19333.4375
1581572348.5732503,8,19074.75
1581572421.4703643,9,20012.703125
1581572495.282953,10,19945.052734375
1581572570.6297193,11,19377.1796875
1581572645.72939,12,19426.193359375
1581572720.2507722,13,19214.365234375
1581572795.911002,14,19114.958984375
1581572867.0569582,15,19696.978515625
1581572939.7104104,16,19892.5625
1581573013.911937,17,19512.03125
1581573089.3430305,18,18773.43359375
1581573162.160493,19,20089.955078125
1581573235.2834682,20,19686.048828125
1581573307.6431537,21,19657.494140625
1581573380.1431515,22,19530.404296875
1581573454.5612922,23,19456.677734375
1581573526.9974852,24,19855.58203125
1581573602.232536,25,19382.34375
1581573676.9987469,26,19433.046875
1581573751.993182,27,19188.27734375
1581573825.9107456,28,19414.76953125
1581573899.5244062,29,19632.69140625
1581573972.635508,30,19965.736328125
1581574047.9746225,31,19390.732421875
1581574122.6951504,32,18942.697265625
1581574197.8875568,33,18987.033203125
1581574271.4295785,34,19417.6015625
1581574344.657353,35,20023.35546875
1581574418.39794,36,19719.162109375
1581574491.8513381,37,19864.2109375
1581574568.5961516,38,18978.85546875
1581574642.750613,39,19577.107421875
1581574716.8669367,40,19391.9609375
1581574789.1921139,41,19812.193359375
1581574862.0746312,42,19643.05859375
1581574935.370093,43,19416.841796875
1581575009.8955293,44,19246.0625
1581575084.0473018,45,19460.13671875
1581575156.488038,46,19841.83984375
1581575230.2296004,47,19441.212890625
1581575305.9358773,48,18946.5078125
1581575379.8169293,49,19859.32421875
1581575452.745956,50,19610.916015625
1581575525.1690354,51,19728.6484375
1581575598.7210803,52,19657.56640625
1581575673.8267136,53,19406.697265625
1581575749.256907,54,19091.69921875
1581575823.453216,55,20066.076171875
1581575896.9482422,56,19619.755859375
1581575969.974284,57,19546.75390625
1581576043.6291308,58,19326.609375
1581576116.686837,59,19479.255859375
1581576189.6768246,60,19832.00390625
1581576262.944957,61,19702.22265625
1581576336.2494004,62,19416.95703125
1581576410.4990602,63,19144.19140625
1581576484.6987016,64,18998.353515625
1581576558.882515,65,19443.83203125
1581576633.1590328,66,19427.501953125
1581576705.175675,67,19857.234375
1581576779.1777782,68,19324.95703125
1581576851.5361884,69,19743.40234375
1581576925.912896,70,18903.638671875
1581577000.7631555,71,19156.962890625
1581577073.6833756,72,19443.3203125
1581577146.487934,73,19500.083984375
1581577220.129568,74,19643.673828125
1581577292.5531623,75,19844.10546875
1581577367.1354656,76,19029.19140625
1581577440.2773342,77,19629.115234375
1581577514.9009666,78,19255.1640625
1581577586.133698,79,19736.31640625
1581577661.3885236,80,18953.00390625
1581577735.4352002,81,19575.8203125
1581577809.129792,82,19201.306640625
1581577882.9941545,83,19456.76953125
1581577956.5280812,84,19551.251953125
1581578030.507645,85,19631.298828125
1581578105.3896568,86,19353.599609375
1581578181.1372404,87,18762.7109375
1581578254.4290147,88,19420.328125
1581578326.344117,89,20061.828125
1581578399.110133,90,19489.646484375
