Wall time,Step,Value
1581280498.5264916,1,1560.7694091796875
1581281335.1984131,2,1579.50341796875
1581282171.088133,3,1580.53125
1581283006.6450322,4,1580.247802734375
1581283842.0624878,5,1581.621337890625
1581284677.4980502,6,1582.1505126953125
1581285513.4965014,7,1580.598388671875
1581286349.1343567,8,1580.1915283203125
1581287184.9028594,9,1580.741455078125
1581288020.8444014,10,1579.9212646484375
1581288856.1037455,11,1581.67333984375
1581289691.1630578,12,1581.326416015625
1581290526.3061078,13,1581.2275390625
1581291360.4656222,14,1582.7935791015625
1581292195.5229926,15,1582.182373046875
1581293031.5602062,16,1579.8280029296875
1581293866.846063,17,1581.5389404296875
1581294701.3750284,18,1582.3057861328125
1581295536.1626492,19,1581.5750732421875
1581296370.671453,20,1582.43896484375
1581297205.1993964,21,1582.841796875
1581298039.4150665,22,1582.542724609375
1581298874.8986251,23,1581.41845703125
1581299710.004707,24,1582.381103515625
1581300545.4704502,25,1580.30859375
1581301379.283443,26,1583.0355224609375
1581302214.0605826,27,1583.2647705078125
1581303048.2110937,28,1582.173828125
1581303883.807822,29,1581.6011962890625
1581304718.4087121,30,1581.6290283203125
1581305552.657098,31,1582.8402099609375
1581306388.0188274,32,1581.639404296875
1581307223.4632702,33,1581.3221435546875
1581308058.8344507,34,1581.986572265625
1581308894.109487,35,1581.531005859375
1581309729.3384638,36,1581.67578125
1581310564.362133,37,1581.0599365234375
1581311398.108526,38,1583.131591796875
1581312232.9578955,39,1581.298828125
1581313067.484288,40,1582.7989501953125
1581313902.5150306,41,1582.0950927734375
1581314736.8887024,42,1581.6419677734375
1581315572.223396,43,1581.414794921875
1581316406.0873876,44,1582.33203125
1581317241.9160197,45,1579.805908203125
1581318076.868258,46,1581.7547607421875
1581318910.6017196,47,1583.1790771484375
1581319745.3911755,48,1581.904052734375
1581320579.8430111,49,1581.4873046875
1581321415.076737,50,1580.8634033203125
1581322249.765666,51,1581.7589111328125
1581323083.9829707,52,1582.45703125
1581323918.127546,53,1583.4791259765625
1581324752.502048,54,1581.918212890625
1581325586.99751,55,1582.3399658203125
1581326420.7907243,56,1582.625732421875
1581327255.9197893,57,1581.4893798828125
1581328089.4503381,58,1583.4781494140625
1581328924.811892,59,1581.1328125
1581329759.7757924,60,1582.850341796875
1581330595.1033773,61,1580.8616943359375
1581331430.3661768,62,1582.4188232421875
1581332264.6422334,63,1582.4140625
1581333098.9919658,64,1582.7236328125
1581333933.60405,65,1581.5382080078125
1581334768.394423,66,1582.212646484375
1581335603.5619824,67,1582.182373046875
1581336437.5195227,68,1582.4150390625
1581337272.2597275,69,1582.647216796875
1581338106.4854677,70,1582.26806640625
1581338941.2146268,71,1582.4503173828125
1581339775.5275118,72,1583.2117919921875
1581340610.9047692,73,1580.2216796875
1581341445.7583473,74,1582.370849609375
1581342280.4531348,75,1581.7938232421875
1581343115.816436,76,1580.9461669921875
1581343951.0444589,77,1580.5155029296875
1581344785.3319483,78,1583.4747314453125
1581345619.4498441,79,1583.1153564453125
1581346453.5465615,80,1583.2342529296875
1581347289.043802,81,1582.09814453125
