Wall time,Step,Value
1588347173.6275089,1,5506.73974609375
1588347406.2024417,2,5789.70947265625
1588347640.3998082,3,5737.09423828125
1588347874.9571476,4,5747.0234375
1588348110.5331106,5,5719.06005859375
1588348345.3053653,6,5729.40966796875
1588348580.0660024,7,5730.9013671875
1588348814.6657317,8,5731.7265625
1588349049.5165374,9,5729.263671875
1588349284.7534657,10,5722.27099609375
1588349519.4251947,11,5728.69140625
1588349753.5557811,12,5741.16845703125
1588349987.622414,13,5742.8876953125
1588350222.1310549,14,5735.927734375
1588350456.5944872,15,5741.88525390625
1588350690.925801,16,5729.34765625
1588350925.9918048,17,5722.853515625
1588351160.160363,18,5737.10009765625
1588351395.0532823,19,5731.7509765625
1588351630.459047,20,5720.759765625
1588351864.4201117,21,5745.6513671875
1588352099.3019817,22,5721.5341796875
1588352334.5395262,23,5718.0908203125
1588352568.9324644,24,5731.31689453125
1588352804.82933,25,5709.34619140625
1588353039.09172,26,5736.5810546875
1588353273.9072936,27,5723.97998046875
1588353508.6158454,28,5735.55078125
1588353744.1777008,29,5716.19775390625
1588353978.8336065,30,5738.92138671875
1588354213.4375846,31,5725.68798828125
1588354448.1482866,32,5731.693359375
1588354682.5304568,33,5739.2646484375
1588354917.5187259,34,5729.82958984375
1588355152.707271,35,5726.67822265625
1588355387.9990115,36,5718.59326171875
1588355622.984504,37,5725.6201171875
1588355857.9902747,38,5723.5107421875
1588356092.0911772,39,5744.861328125
1588356327.8573127,40,5702.98681640625
1588356563.740821,41,5696.91943359375
1588356799.4568148,42,5705.79931640625
1588357034.4225688,43,5714.8759765625
1588357269.9769325,44,5701.27099609375
1588357503.7333732,45,5732.84130859375
1588357737.3241162,46,5737.2626953125
1588357971.568277,47,5733.3486328125
1588358205.480651,48,5744.0390625
1588358439.413397,49,5746.96337890625
1588358673.880859,50,5737.9384765625
1588358907.8890839,51,5742.60888671875
1588359141.1259375,52,5751.96435546875
1588359374.8339784,53,5743.146484375
1588359608.414253,54,5743.82373046875
1588359841.5518093,55,5753.98828125
1588360075.041406,56,5746.333984375
1588360307.8793654,57,5773.0654296875
1588360540.8326664,58,5764.53662109375
1588360774.7548356,59,5745.84033203125
1588361007.6110282,60,5755.453125
1588361240.8494601,61,5760.29736328125
1588361474.4619913,62,5740.0556640625
1588361708.1858132,63,5745.56298828125
1588361942.8241847,64,5731.5908203125
1588362176.7770076,65,5735.97802734375
1588362410.6712399,66,5736.8427734375
1588362644.3234477,67,5736.01171875
1588362878.7021902,68,5724.8056640625
1588363112.4511547,69,5744.38330078125
1588363346.1818223,70,5736.7119140625
1588363579.9999611,71,5741.125
1588363813.9277256,72,5751.9755859375
1588364048.4545887,73,5731.859375
1588364281.9573755,74,5750.76611328125
1588364515.522488,75,5734.72314453125
1588364750.0102668,76,5730.40576171875
1588364983.4970715,77,5745.20751953125
1588365217.5220501,78,5727.80859375
1588365451.9952126,79,5729.20458984375
1588365686.7504485,80,5722.53955078125
1588365920.3582613,81,5748.23583984375
1588366153.7222035,82,5763.62841796875
1588366387.7092662,83,5739.93896484375
1588366621.8389463,84,5735.33203125
1588366855.167215,85,5746.71435546875
1588367088.9220004,86,5745.4189453125
1588367328.6510172,87,5727.73046875
1588367567.5401933,88,5743.5234375
1588367805.5969503,89,5750.14501953125
1588368046.1857095,90,5694.69287109375
