Wall time,Step,Value
1588371769.9908838,1,2883.31982421875
1588372216.0497377,2,2987.9560546875
1588372665.034571,3,2969.9482421875
1588373112.9926283,4,2975.4873046875
1588373562.8504481,5,2962.699462890625
1588374010.915363,6,2973.7509765625
1588374459.3443089,7,2969.85205078125
1588374908.9761522,8,2963.484619140625
1588375359.041164,9,2960.183837890625
1588375810.6673632,10,2946.745361328125
1588376264.3238287,11,2935.221435546875
1588376717.188762,12,2940.33642578125
1588377169.9187973,13,2940.608154296875
1588377622.1762407,14,2945.822509765625
1588378075.7126262,15,2938.63037109375
1588378527.829085,16,2945.7783203125
1588378979.5132575,17,2949.019775390625
1588379431.7678323,18,2945.41796875
1588379885.192279,19,2936.133544921875
1588380339.0864754,20,2935.4775390625
1588380792.0250502,21,2942.79345703125
1588381245.9527018,22,2931.055419921875
1588381700.1786323,23,2934.752685546875
1588382155.2361672,24,2924.835693359375
1588382609.7532256,25,2929.672607421875
1588383064.1280916,26,2931.373291015625
1588383518.9687374,27,2930.252685546875
1588383973.675415,28,2928.775390625
1588384428.8722863,29,2927.542236328125
1588384883.9059932,30,2926.1376953125
1588385338.6254003,31,2928.014892578125
1588385793.700435,32,2924.4541015625
1588386247.5517197,33,2931.963623046875
1588386702.8915207,34,2920.538330078125
1588387157.674891,35,2925.3125
1588387611.9865704,36,2929.5400390625
1588388066.8304005,37,2925.1767578125
1588388519.6819067,38,2940.311279296875
1588388973.0917742,39,2935.337890625
1588389428.2711308,40,2925.03662109375
1588389881.6294994,41,2933.208740234375
1588390335.747417,42,2931.279296875
1588390789.544051,43,2930.478759765625
1588391244.6625907,44,2923.874267578125
1588391698.4857354,45,2931.49072265625
1588392153.577352,46,2923.62841796875
1588392610.150501,47,2914.3564453125
1588393065.860922,48,2921.053466796875
1588393520.0845423,49,2929.36474609375
1588393976.0449507,50,2917.090576171875
1588394432.7845564,51,2915.175537109375
1588394888.628335,52,2918.434814453125
1588395343.8680153,53,2922.611083984375
1588395800.7603126,54,2911.188232421875
1588396256.2359486,55,2921.06787109375
1588396711.3824341,56,2921.67578125
1588397165.9830205,57,2927.76513671875
1588397620.6344125,58,2925.597412109375
1588398076.034385,59,2923.84375
1588398531.8807905,60,2920.66259765625
1588398987.423075,61,2921.539306640625
1588399443.9405174,62,2915.940185546875
1588399899.688907,63,2920.306884765625
1588400355.202236,64,2921.32177734375
1588400811.4374883,65,2915.3349609375
1588401267.0556786,66,2919.8251953125
1588401723.439765,67,2916.373291015625
1588402179.827747,68,2915.561279296875
1588402636.0879164,69,2916.623779296875
1588403092.1931853,70,2920.115478515625
1588403548.7883756,71,2912.390380859375
1588404005.3076293,72,2918.080810546875
1588404461.3615005,73,2917.2333984375
1588404916.8000476,74,2922.556884765625
1588405373.1181362,75,2915.15673828125
1588405829.7563124,76,2913.0986328125
1588406286.2359612,77,2914.356689453125
1588406742.195695,78,2918.162353515625
1588407198.1218514,79,2916.490478515625
1588407653.4646735,80,2923.356689453125
1588408109.7196715,81,2917.593505859375
1588408566.3007882,82,2915.431884765625
1588409023.229876,83,2910.7890625
1588409480.2338305,84,2912.3955078125
1588409935.5568964,85,2921.008056640625
1588410391.2557619,86,2918.954833984375
1588410848.1007216,87,2913.469482421875
1588411303.687431,88,2921.413330078125
1588411760.5144475,89,2912.96533203125
1588412214.6064792,90,2928.111083984375
