Wall time,Step,Value
1581566165.1995695,1,19645.740234375
1581566208.3037384,2,34920.296875
1581566254.6414654,3,31936.2734375
1581566302.6303358,4,30204.4609375
1581566349.4916172,5,31933.287109375
1581566393.8483925,6,33153.63671875
1581566439.682141,7,32127.841796875
1581566483.0284941,8,34134.0859375
1581566530.859519,9,31720.3671875
1581566577.591081,10,31671.859375
1581566621.8088682,11,33211.8359375
1581566668.1937997,12,31974.52734375
1581566713.3315613,13,32785.28125
1581566758.1145895,14,33597.91015625
1581566801.8824627,15,33722.6953125
1581566848.1548147,16,31617.7421875
1581566891.7934356,17,33396.69140625
1581566937.4516606,18,31821.548828125
1581566982.203407,19,33072.62890625
1581567028.011216,20,32585.55859375
1581567074.805681,21,32798.6953125
1581567119.2824497,22,32794.734375
1581567164.366377,23,32633.4609375
1581567208.9850352,24,33226.14453125
1581567253.1615975,25,33206.85546875
1581567297.31252,26,33117.03515625
1581567342.3196523,27,32415.462890625
1581567389.105116,28,31610.52734375
1581567433.2720377,29,33460.0
1581567479.382883,30,32663.87109375
1581567525.0786316,31,32469.56640625
1581567570.249583,32,33143.83984375
1581567614.232285,33,34000.66796875
1581567659.4344556,34,32266.251953125
1581567704.1620202,35,32688.537109375
1581567749.044229,36,32982.26171875
1581567792.4371355,37,34596.015625
1581567836.732645,38,33437.9296875
1581567881.0864935,39,32787.2890625
1581567926.054411,40,32392.86328125
1581567970.0109653,41,33426.9140625
1581568015.109205,42,32815.81640625
1581568059.803022,43,33197.34765625
1581568105.23997,44,32482.37890625
1581568150.119285,45,33813.71875
1581568195.1799405,46,32839.09375
1581568238.5094864,47,34051.10546875
1581568283.4695108,48,32667.880859375
1581568328.5052748,49,33122.6875
1581568372.0513847,50,34307.31640625
1581568417.389701,51,33066.7265625
1581568462.8244977,52,32246.30078125
1581568505.7568777,53,34046.97265625
1581568551.3779616,54,32341.005859375
1581568596.9888523,55,32033.478515625
1581568641.4249244,56,33419.953125
1581568685.4764905,57,33612.5390625
1581568732.782839,58,31367.072265625
1581568778.6170733,59,32471.1171875
1581568825.9329023,60,31583.439453125
1581568869.6382961,61,34074.53515625
1581568916.1687055,62,32937.63671875
1581568961.2736442,63,33787.546875
1581569008.3808572,64,31761.498046875
1581569051.8595338,65,34761.5625
1581569094.9948068,66,34401.1171875
1581569139.753566,67,33094.99609375
1581569183.5626712,68,34207.953125
1581569226.7059226,69,34227.46875
1581569271.3201385,70,33142.5390625
1581569317.2383115,71,33437.41796875
1581569363.1287766,72,32467.86328125
1581569406.7126284,73,33853.77734375
1581569451.1640992,74,33913.9453125
1581569495.8427274,75,34108.77734375
1581569540.5236206,76,33398.5625
1581569584.3391545,77,34289.58203125
1581569628.2057443,78,33677.8125
1581569672.899324,79,33141.2109375
1581569716.7517612,80,33261.7421875
1581569761.6994073,81,33960.6328125
1581569806.560004,82,32938.9765625
1581569850.1274235,83,33693.91796875
1581569894.9212267,84,33268.984375
1581569938.5953746,85,33931.72265625
1581569982.1151474,86,34498.8984375
1581570026.8306606,87,33936.34375
1581570072.6836348,88,32420.912109375
1581570117.0737965,89,34380.5859375
1581570162.2157128,90,32619.345703125
