Wall time,Step,Value
1588356109.617965,1,9947.70703125
1588356231.8968668,2,11093.41796875
1588356354.6539123,3,11005.466796875
1588356477.9449313,4,10965.2451171875
1588356601.8070996,5,10909.142578125
1588356724.889272,6,10972.8583984375
1588356849.055248,7,10911.689453125
1588356973.854055,8,10820.05078125
1588357098.9127562,9,10785.3076171875
1588357223.8190992,10,10812.6103515625
1588357349.1887274,11,10744.2861328125
1588357475.1151822,12,10689.900390625
1588357600.6297104,13,10743.4619140625
1588357726.0538256,14,10739.462890625
1588357851.2462592,15,10767.421875
1588357976.5951164,16,10756.8681640625
1588358101.9669433,17,10760.6015625
1588358227.6850073,18,10731.2880859375
1588358353.115339,19,10750.68359375
1588358478.8395965,20,10748.236328125
1588358604.3722694,21,10737.47265625
1588358729.9879038,22,10752.796875
1588358856.1689005,23,10672.3466796875
1588358981.6370916,24,10768.6396484375
1588359107.9888213,25,10683.0341796875
1588359233.6453488,26,10714.498046875
1588359359.2018566,27,10731.4208984375
1588359485.6147468,28,10657.5107421875
1588359611.4194171,29,10751.0048828125
1588359736.5622232,30,10780.8662109375
1588359861.5791,31,10789.1318359375
1588359986.8589995,32,10771.0888671875
1588360111.7951417,33,10816.5908203125
1588360236.7436543,34,10799.982421875
1588360362.0027628,35,10789.3173828125
1588360487.2549527,36,10763.2509765625
1588360612.357862,37,10777.5537109375
1588360737.6980088,38,10763.037109375
1588360862.66545,39,10796.63671875
1588360987.5027387,40,10815.6337890625
1588361112.7936985,41,10758.5341796875
1588361238.5008814,42,10727.05859375
1588361363.2819521,43,10804.1357421875
1588361489.0768385,44,10745.0966796875
1588361614.2760336,45,10776.1142578125
1588361739.904322,46,10768.4248046875
1588361865.0777888,47,10771.4736328125
1588361990.4887168,48,10759.9384765625
1588362115.8893347,49,10748.9208984375
1588362241.3993802,50,10752.2099609375
1588362366.972784,51,10734.3955078125
1588362492.5049524,52,10761.2529296875
1588362617.8503397,53,10775.0546875
1588362742.9964054,54,10752.8232421875
1588362868.2240243,55,10763.435546875
1588362993.7723255,56,10736.40234375
1588363119.3030365,57,10760.1669921875
1588363244.5232096,58,10778.12890625
1588363370.0001414,59,10735.490234375
1588363495.6146045,60,10745.1416015625
1588363620.6343474,61,10811.107421875
1588363746.2728577,62,10751.95703125
1588363871.903612,63,10772.16796875
1588363997.6115913,64,10761.8486328125
1588364122.7685642,65,10781.5224609375
1588364248.4348032,66,10754.798828125
1588364374.0388808,67,10755.333984375
1588364499.5269363,68,10734.4599609375
1588364625.3124633,69,10715.01171875
1588364750.9790206,70,10744.2275390625
1588364876.483561,71,10747.515625
1588365002.1776245,72,10716.052734375
1588365127.5796587,73,10766.6513671875
1588365252.9845004,74,10761.44140625
1588365377.91616,75,10789.904296875
1588365502.8078952,76,10791.2705078125
1588365627.4730847,77,10818.0927734375
1588365752.5460932,78,10795.8916015625
1588365877.6896567,79,10793.0634765625
1588366002.2794056,80,10820.0224609375
1588366127.6683414,81,10776.8681640625
1588366253.0858567,82,10748.25390625
1588366378.2363465,83,10775.8046875
1588366503.6784391,84,10750.5458984375
1588366629.0998173,85,10784.115234375
1588366754.5924814,86,10753.0966796875
1588366880.2538419,87,10758.92578125
1588367005.3919835,88,10782.8466796875
1588367130.9494708,89,10755.025390625
1588367257.0426493,90,10704.99609375
