Wall time,Step,Value
1588341243.8986115,1,0.1290457546710968
1588341280.8695602,2,0.7524762749671936
1588341317.9167495,3,2.3228237628936768
1588341354.5337822,4,6.4461846351623535
1588341391.9706328,5,10.7421875
1588341428.9396257,6,16.661725997924805
1588341466.0742702,7,21.329172134399414
1588341503.9732716,8,25.462995529174805
1588341541.706269,9,28.39529800415039
1588341578.6968749,10,28.459821701049805
1588341615.9805045,11,32.69217300415039
1588341653.7506146,12,32.36956024169922
1588341690.85424,13,35.74567413330078
1588341728.4080472,14,36.12234878540039
1588341766.0718246,15,35.71515655517578
1588341803.4694932,16,36.48245620727539
1588341840.937219,17,36.48158645629883
1588341878.4270804,18,40.60843276977539
1588341916.2684927,19,39.97715377807617
1588341953.5031152,20,38.23678207397461
1588341992.2917368,21,41.80733871459961
1588342029.508515,22,40.97900390625
1588342068.3746307,23,42.18488311767578
1588342105.94269,24,42.0166015625
1588342143.2619085,25,42.120361328125
1588342180.7182841,26,42.3828125
1588342217.7714481,27,43.20504379272461
1588342255.4296682,28,43.218994140625
1588342292.5337596,29,41.461181640625
1588342330.04944,30,43.82236862182617
1588342367.1292646,31,54.72237777709961
1588342404.790441,32,57.72617721557617
1588342441.9989595,33,58.92333984375
1588342479.2511196,34,59.51886749267578
1588342516.762917,35,60.13357925415039
1588342553.5659027,36,60.56692886352539
1588342590.6781147,37,61.11973190307617
1588342627.865862,38,61.31504440307617
1588342664.503565,39,61.63155746459961
1588342701.8917036,40,61.81378936767578
1588342739.4866,41,61.98381805419922
1588342776.7457323,42,61.95242691040039
1588342813.9706104,43,61.81553268432617
1588342851.4906518,44,61.993408203125
1588342888.3633335,45,62.16082000732422
1588342925.3036702,46,62.55929183959961
1588342962.4787261,47,62.12942886352539
1588342999.6686997,48,62.26370620727539
1588343038.0223904,49,62.39885711669922
1588343075.6913567,50,62.74937057495117
1588343113.3186345,51,62.78860855102539
1588343150.1706276,52,62.82522964477539
1588343187.9170697,53,62.78599166870117
1588343224.9816716,54,62.64997100830078
1588343262.493577,55,63.055419921875
1588343299.8309782,56,62.908935546875
1588343336.9887464,57,63.23416519165039
1588343374.1318629,58,63.2568359375
1588343411.5994608,59,63.33182144165039
1588343448.7051005,60,63.33879852294922
1588343486.1351886,61,67.82313537597656
1588343523.7105117,62,69.44144439697266
1588343561.0184422,63,69.87042999267578
1588343598.4368072,64,70.2392578125
1588343636.248642,65,70.35260772705078
1588343673.092407,66,70.59064483642578
1588343709.9896443,67,70.90715789794922
1588343747.3964524,68,71.08415985107422
1588343784.5493488,69,71.25331115722656
1588343821.8667216,70,71.48001861572266
1588343859.480718,71,71.2646484375
1588343896.6687353,72,71.56197357177734
1588343933.9878159,73,71.80437469482422
1588343971.5217276,74,71.80873107910156
1588344008.3369458,75,72.19673919677734
1588344045.6637018,76,72.21156311035156
1588344082.9401994,77,72.29527282714844
1588344120.0545514,78,72.43216705322266
1588344157.3234913,79,72.37461853027344
1588344194.5233936,80,72.70856475830078
1588344231.8290362,81,73.27357482910156
1588344269.0853417,82,73.3642578125
1588344306.5118926,83,73.52730560302734
1588344344.0229883,84,73.41657257080078
1588344381.4755707,85,73.60491180419922
1588344419.1811302,86,73.5107421875
1588344457.2524438,87,73.46278381347656
1588344494.3911374,88,73.58049774169922
1588344531.8536086,89,73.49591827392578
1588344568.8167596,90,73.67378997802734
